Match Count,46
הרב דוד דגגה פרשת כי תצא תשעט מוסר לחודש אלול.mp4,,No
הרב דוד דגגה פרשת כי תשא תשפב.mp4,,No
הרב דוד דגגה פרשת לך לך תשפ.mp4,,No
הרב דוד דגגה פרשת לך לך תשפב.mp4,,No
הרב דוד דגגה פרשת מטות תשעט.mp4,,No
הרב דוד דגגה פרשת מקץ תשפב.mp4,,No
הרב דוד דגגה פרשת משפטים תשעט.mp4,הרב דוד דגגה פרשת משפטים תשעט.mp4,Yes
הרב דוד דגגה פרשת משפטים תשפב.mp4,,No
הרב דוד דגגה פרשת נח תשעט.mp4,,No
הרב דוד דגגה פרשת נח תשפב.mp4,הרב דוד דגגה פרשת נח תשפב.mp4,Yes
הרב דוד דגגה פרשת ניצבים תשסט.mp4,,No
הרב דוד דגגה פרשת ניצבים תשעט.mp4,,No
הרב דוד דגגה פרשת עקב תשעח.mp4,,No
הרב דוד דגגה פרשת עקב תשעט.mp4,,No
הרב דוד דגגה פרשת פנחס תשפד.mp4,,No
הרב דוד דגגה פרשת פקודי תשעט.mp4,הרב דוד דגגה פרשת פקודי תשעט.avi,Yes
הרב דוד דגגה פרשת קדושים תשפב.mp4,,No
הרב דוד דגגה פרשת קרח תשעח.mp4,,No
הרב דוד דגגה פרשת קרח תשפד.mp4,הרב דוד דגגה פרשת קרח תשפד.mp4,Yes
הרב דוד דגגה פרשת שלח לך תשפד.mp4,,No
הרב דוד דגגה פרשת שמות תשפ.mp4,,No
הרב דוד דגגה פרשת שמות תשפב.mp4,,No
הרב דוד דגגה פרשת שמיני תשפב.mp4,,No
הרב דוד דגגה פרשת תולדות תשפא.mp4,,No
הרב דוד דגגה פרשת תולדות תשפב.mp4,,No
הרב דוד דגגה פרשת תזריע תשפב.mp4,,No
הרב דוד דגגה פרשת תצווה תשפ_ב.mp4,,No
הרב דוד דגגה פרשת תצווה תשפב.mp4,,No
הרב דוד דגגה פרשת תרומה תשפב.mp4,,No
הרב דוד דגגה שיחה עם התלמידים על חינוך שלום בית.mp4,,No
צפייה חובה!!! הרב דוד דגגה על הקשר בין אב לבן ו.mp4,,No
,בדיקה.avi,No
,ברכה לאביגיל.avi,No
,הרב דגגה - מוסר לימים נוראים תשעח.avi,No
